objectID,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,image_array,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
444867,Coin,Coin with Sign of Leo,,dated 1033 AH/1624 CE,Gold,"Diam. 3/4 in. (1.9 cm)
D. 1/16 in. (0.2 cm)",Agra,Coins,"This coin bears a Leo symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]", What is the object's name?, Coin, What symbol is depicted on the coin?, Leo, In what year was the coin minted?, 1033 AH/1624 CE, Where was the coin minted?, Agra
444868,Coin,Coin,,dated 1030 AH/1621 CE,Silver,"Diam. 13/16 in. (2 cm)
D. 1/16 in. (0.2 cm)",,Coins,"This coin bears a Scorpio symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.","[[[ 3 34 67]
  [ 4 35 68]
  [ 1 41 76]
  ...
  [ 5 44 82]
  [ 4 41 79]
  [ 1 33 69]]

 [[ 2 40 75]
  [ 4 30 66]
  [ 2 40 74]
  ...
  [ 3 40 74]
  [ 0 40 73]
  [ 4 36 72]]

 [[ 8 45 83]
  [ 6 42 78]
  [ 3 38 72]
  ...
  [ 1 29 64]
  [ 0 42 77]
  [ 6 50 87]]

 ...

 [[10 40 75]
  [13 51 83]
  [16 55 87]
  ...
  [12 48 84]
  [18 53 97]
  [16 55 93]]

 [[10 48 82]
  [ 5 43 75]
  [ 5 48 81]
  ...
  [ 5 43 73]
  [13 50 88]
  [ 2 40 74]]

 [[13 50 84]
  [ 2 33 64]
  [ 5 43 77]
  ...
  [ 1 42 75]
  [13 55 97]
  [ 0 41 80]]]", What is the name of this art?, Coin, When was the art created?, 1030 AH/1621 CE, What is the art made of?, Silver, What does the Scorpio symbol on the coin represent?, The month in which the coin was minted
444964,Hanging,Hanging,,16th–17th century,"Silk; plain-weave, embroidered","H. 131 in. (332.7 cm)
W. 92 in. (233.7 cm).",,Textiles-Embroidered,"Embroidered textiles with central medallions surrounded by flowers and vines were produced in India in the sixteenth through the eighteenth centuries.  Because this textile was woven with silver-wrapped thread, it was likely used in a courtly setting, perhaps as a summer carpet or as a cover for the dais (raised platform) of a local ruler.  Stylistic and technical similarities to other floor coverings and wall hangings suggest that it may have been produced in the Deccan region during the eighteenth century.Embroidered textiles with central medallions surrounded by flowers and vines were produced in India in the sixteenth through the eighteenth centuries.  Because this textile was woven with silver-wrapped thread, it was likely used in a courtly setting, perhaps as a summer carpet or as a cover for the dais (raised platform) of a local ruler.  Stylistic and technical similarities to other floor coverings and wall hangings suggest that it may have been produced in the Deccan region during the eighteenth century.","[[[162 162 162]
  [161 161 161]
  [160 160 160]
  ...
  [166 166 166]
  [164 164 164]
  [166 166 166]]

 [[160 160 160]
  [160 160 160]
  [160 160 160]
  ...
  [166 166 166]
  [165 165 165]
  [165 165 165]]

 [[160 160 160]
  [161 161 161]
  [161 161 161]
  ...
  [165 165 165]
  [165 165 165]
  [165 165 165]]

 ...

 [[157 156 158]
  [159 158 160]
  [160 159 161]
  ...
  [164 164 164]
  [162 162 162]
  [161 161 161]]

 [[157 156 158]
  [159 158 160]
  [159 158 160]
  ...
  [166 166 166]
  [165 163 163]
  [165 163 163]]

 [[158 157 159]
  [159 158 160]
  [158 157 159]
  ...
  [163 163 163]
  [165 163 163]
  [164 162 162]]]", What is the title and type of this art?, Title: Hanging; Type: Textiles-Embroidered, When was this art created?, 16th–17th century, What materials were used to create this art?," Silk; plain-weave, embroidered with silver-wrapped thread", What was the likely use of this art?, As a summer carpet or cover for a dais in a courtly setting
444987,Bowl,Bowl,,19th century,Tinned copper,"H. 6 in. (15.2 cm)
Diam. 8 9/16 in. (21.7 cm)",,Metal,Objects like this bowl were typically displayed in open niches in reception rooms of upper-class Syrian residences during the Ottoman period,"[[[164 167 175]
  [167 170 178]
  [170 173 181]
  ...
  [180 174 185]
  [170 178 177]
  [169 177 176]]

 [[168 171 179]
  [171 174 182]
  [173 176 184]
  ...
  [175 171 182]
  [169 177 177]
  [168 176 176]]

 [[167 170 178]
  [169 172 180]
  [170 173 181]
  ...
  [170 169 178]
  [168 174 179]
  [167 173 178]]

 ...

 [[192 198 209]
  [197 201 212]
  [205 203 215]
  ...
  [172 181 190]
  [176 183 192]
  [176 183 192]]

 [[189 199 209]
  [195 201 212]
  [203 203 215]
  ...
  [169 178 187]
  [175 182 191]
  [175 182 191]]

 [[198 203 212]
  [199 204 213]
  [198 203 212]
  ...
  [175 177 195]
  [175 176 190]
  [175 176 190]]]", What is the name of the object?, Bowl, When was the object made?, 19th century, What is the material used to create the object?, Tinned copper, Where were objects like this bowl typically displayed?, Open niches in reception rooms of upper-class Syrian residences during the Ottoman period
445003,Jewelry mold,Mold for Jewelry,,19th century,"Clay, heavy white metal","(a) c. 4 in. (10.2 cm)
          6 in. (15.2 cm)
(b) Diam. c. 3 in. (7.6 cm)",,Jewelry,"These two bangles still encased in their mold provide evidence of lost wax casting that would normally be removed. In this process, a wax model is covered with a refractory clay envelop and fired, hardening the clay and causing the wax to run out of an access channel that had also been formed in the wax. Molten metal is then poured into the mold filling the space previously held by the wax. After the mold is broken away, the cast access points including the bowl-shaped sprue seen at the top and the connecting gates are cut off and the metal surface is polished.","[[[184 179 180]
  [184 179 180]
  [183 178 179]
  ...
  [184 182 181]
  [183 181 180]
  [184 182 181]]

 [[183 178 179]
  [183 178 179]
  [183 178 179]
  ...
  [181 179 178]
  [181 179 178]
  [181 179 178]]

 [[182 177 178]
  [183 178 179]
  [184 179 180]
  ...
  [185 183 182]
  [184 182 181]
  [184 182 181]]

 ...

 [[234 229 230]
  [226 221 222]
  [230 225 226]
  ...
  [225 214 216]
  [226 215 217]
  [226 215 217]]

 [[234 229 230]
  [226 221 222]
  [230 225 226]
  ...
  [225 214 216]
  [226 215 217]
  [226 215 217]]

 [[235 230 231]
  [226 221 222]
  [230 225 226]
  ...
  [225 214 216]
  [226 215 217]
  [226 215 217]]]", What is the name of the art?, Mold for Jewelry, What materials were used to create this art?, Clay and heavy white metal, What technique was used to create this art?, Lost wax casting, What are the dimensions of the art?, (a) c. 4 in. (10.2 cm) x 6 in. (15.2 cm)
445246,Panel,Panel from a Mantle or Apron,,early 17th century,"Cotton, tasar silk; plain weave, embroidered","Textile a: H. 46 3/4 in. (118.7 cm)
                 W. 13 1/2 in. (34.3 cm)
Textile b: H. 45 in. (114.3 cm)
                 W. 14 1/4 in. (36.2 cm)
Textile c-e: H. 46 in. (116.8 cm)
                    W. 15 1/4 in. (38.7 cm)

Mount (Textile b:) H. 48 ½ in (123.2 cm)
                               W. 18 in. (45.7 cm)
                                D. 2 ¼ in. (5.7 cm)",Satgaon-Hugly,Textiles-Embroidered,"A distinctive group of Bengal embroideries made between the mid-sixteenth and mid-seventeenth century are embroidered with the yellowish white silk known as tasar, one of several types of the wild (i.e., uncultivated) silk that was abundant in eastern India. They incorporate highly imaginative imagery including sea creatures, mermaids, scenes from the Bible, European figures, animals, and hunters drawn from a mixture of European engravings and local traditions. Several examples include Portuguese coats of arms and must have been made for the Portuguese traders who had settled on the western coast of India, but these embroideries were also prized in England.","[[[235 237 237]
  [235 237 237]
  [235 237 237]
  ...
  [233 236 234]
  [233 236 234]
  [233 236 234]]

 [[235 237 237]
  [235 237 237]
  [235 237 237]
  ...
  [233 236 234]
  [233 236 234]
  [233 236 234]]

 [[235 237 237]
  [235 237 237]
  [235 237 237]
  ...
  [234 237 235]
  [233 236 234]
  [233 236 234]]

 ...

 [[230 232 232]
  [231 233 233]
  [231 233 233]
  ...
  [227 229 229]
  [227 229 229]
  [227 229 229]]

 [[231 233 233]
  [231 233 233]
  [231 233 233]
  ...
  [227 229 229]
  [227 229 229]
  [227 229 229]]

 [[231 233 233]
  [232 234 234]
  [232 234 234]
  ...
  [227 229 229]
  [227 229 229]
  [227 229 229]]]", What is the object's name?, Panel, When was the art created?, Early 17th century, What material is the art made of?," Cotton, tasar silk, plain weave, embroidered.", What is the art typically used for?, The art was likely used as a decoration for a mantle or an apron.
445261,Carpet fragment,Pashmina Carpet Fragment,,first half 17th century,"Silk (warp and weft), pashmina wool (pile); asymmetrically knotted pile","Textile: L. 13 1/2 in. (34.3 cm)
              W.  5 1/4 in. (13.3 cm)
Mount: L. 17 7/8 in. (45.4 cm)
            W. 10 1/8 in. (25.7 cm)
             D. 7/8 in. (2.2 cm)",,Textiles-Rugs,"This carpet fragment and the others in the group come from a well-known carpet of which the main part is in the Frick Collection, New York. The rich red of the ground would have been achieved with the expensive insect dye called lac, probably combined with the madder plant.","[[[119 167 201]
  [136 184 218]
  [103 150 182]
  ...
  [125 174 206]
  [121 170 202]
  [121 170 202]]

 [[144 192 226]
  [154 202 236]
  [123 170 202]
  ...
  [108 157 189]
  [124 173 205]
  [124 173 205]]

 [[127 175 209]
  [133 181 215]
  [116 163 195]
  ...
  [ 79 128 160]
  [118 167 199]
  [120 169 201]]

 ...

 [[114 163 195]
  [121 170 202]
  [130 177 209]
  ...
  [114 163 195]
  [109 158 190]
  [ 68 117 149]]

 [[128 175 207]
  [131 178 210]
  [125 172 204]
  ...
  [130 179 211]
  [132 181 213]
  [106 155 187]]

 [[136 183 215]
  [135 182 214]
  [123 170 202]
  ...
  [127 176 208]
  [140 189 221]
  [122 171 203]]]", What is the name of the art?, Pashmina Carpet Fragment, In what century was the art created?, First half of the 17th century, What type of technique was used to create the art?, Asymmetrically knotted pile, What dye was likely used to achieve the rich red color of the ground?, Lac and madder plant
445975,Illustrated  album leaf,Portrait of Mian Mir and Mulla Shah,Muhammad Musa,ca. 1695–1705,Watercolor on paper,"Image: H. 10 7/8 in. (27.6 cm)
              W. 7 1/2 in. (19.1 cm)
Page: H. 16 5/8 in. (42.2 cm)
           W. 11 7/8 in. (30.2 cm)
Mat: H. 19 1/4 in. (48.9 cm)
        W. 14 1/4 in. (36.2 cm)",,Codices,"Mullah Shah was the spiritual guide of the heir apparent to the Mughal throne, Prince Dara Shikoh, and his elder sister Princess Jahanara Begum. Both were initiated by him into the Qadri Sufi order in the year 1640. An identical portrait of Mullah Shah by the same hand is in an album from Kashmir housed at the Lahore Museum. Dated 1699–1702, the name of the artist is mentioned in the album’s preface. This painting, which is inspired by an earlier portrait in the collection of the Victoria & Albert Museum, represents the localization of an imperial Mughal style into regional schools in the late-seventeenth century Here, the three-dimensionality favored during the Jahangir and Shah Jahan periods gives way to flat blocks of color that rejects any sense of naturalistic space.","[[[199 215 227]
  [200 216 228]
  [200 216 228]
  ...
  [204 217 225]
  [204 217 225]
  [206 217 225]]

 [[200 216 228]
  [200 216 228]
  [200 216 228]
  ...
  [204 216 226]
  [204 216 226]
  [206 217 225]]

 [[200 216 228]
  [200 216 228]
  [200 216 228]
  ...
  [204 216 226]
  [204 216 226]
  [203 216 224]]

 ...

 [[200 213 221]
  [201 214 222]
  [201 214 222]
  ...
  [209 219 226]
  [209 219 226]
  [206 216 223]]

 [[199 212 220]
  [200 213 221]
  [201 214 222]
  ...
  [208 218 225]
  [208 218 225]
  [208 218 225]]

 [[198 211 219]
  [200 213 221]
  [201 214 222]
  ...
  [207 217 224]
  [207 217 224]
  [208 218 225]]]", Who is the artist of the illustrated album leaf?, Muhammad Musa, What is the approximate date of the art's creation?, ca. 1695–1705, What is the medium used to create the art?, Watercolor on paper, What is the main subject of the portrait?, Mian Mir and Mulla Shah
446266,Illustrated single work,Jahangir Watching an Elephant Fight,Farrukh Chela,ca. 1605,"Main support: Ink, opaque watercolor, gold on paper
Margins: Gold on dyed paper","Painting: H. 18 1/2 in. (47 cm)
                 W. 12 7/8 in. (32.7cm)
Mat: H. 22 1/4 in. (56.5 cm)
        W. 16 1/4 in. (41.3 cm)
Frame: H. 24 1/2 in. (62.2 cm)
              W. 18 1/2 in. (47 cm)",,Codices,"Elephants were prized for their strength and power in Mughal India, where they were used for hunting, military campaigns, and sport. In this work painted by Farrukh Chela, two mounted men control the elephants, which are adorned with gold chains, as they fight before an audience. Servants standing to the right watch as one of the riders drops his ankush (a metal rod used to control elephants). They hold fireworks on poles, prepared to help direct the elephant if necessary. Wearing rich gold and deep colors, Emperor Jahangir appears on horseback in the foreground. The margins of this page were added later, when the painting was inserted into an album shortly after Nadir Shah took control of Delhi in 1739.","[[[115 120 119]
  [174 179 178]
  [163 169 168]
  ...
  [161 169 168]
  [180 188 187]
  [ 89  97  96]]

 [[177 182 181]
  [234 239 238]
  [221 227 226]
  ...
  [219 227 226]
  [239 247 246]
  [126 134 133]]

 [[165 170 171]
  [220 225 226]
  [208 213 214]
  ...
  [205 213 212]
  [223 231 230]
  [121 129 128]]

 ...

 [[178 183 184]
  [235 240 241]
  [219 224 225]
  ...
  [225 230 231]
  [249 254 255]
  [136 141 140]]

 [[172 177 178]
  [231 236 237]
  [232 237 238]
  ...
  [237 243 242]
  [241 247 246]
  [135 140 139]]

 [[ 20  25  26]
  [ 40  45  46]
  [ 22  27  28]
  ...
  [ 31  37  36]
  [ 38  44  43]
  [ 20  25  24]]]"," Who is the artist of ""Jahangir Watching an Elephant Fight""?", Farrukh Chela," What year was ""Jahangir Watching an Elephant Fight"" created?", ca. 1605," What is the primary medium used in ""Jahangir Watching an Elephant Fight""?"," Ink, opaque watercolor, gold on paper", Who appears on horseback in the foreground of the painting?, Emperor Jahangir
446560,Folio from an illustrated manuscript,"""A King Offers to Make Amends to a Bereaved Mother"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Main support: Ink, opaque watercolor, gold on paper
Margins: Gold on dyed paper","H. 9 3/4 in. .(24.8 cm)
W. 6 1/4 in. (15.9 cm)",,Codices,"In this dramatic painting, a king submits to justice after having accidentally killed a shepherd while hunting. He offers the boy's grieving mother a choice: to take his sword and cut off his head, which will fall in the golden dish between them, or to accept the second dish filled with gold. Some of the marginal figures are of European inspiration, while the rocks are Persian and the main figures are typically Mughal.","[[[211 226 242]
  [207 222 238]
  [206 221 237]
  ...
  [200 219 234]
  [200 219 234]
  [201 220 235]]

 [[210 225 241]
  [207 222 238]
  [207 222 238]
  ...
  [198 217 232]
  [195 214 229]
  [193 212 227]]

 [[206 221 237]
  [203 218 234]
  [203 218 234]
  ...
  [197 216 231]
  [195 214 229]
  [193 212 227]]

 ...

 [[210 225 241]
  [212 227 243]
  [210 225 241]
  ...
  [197 214 227]
  [199 216 229]
  [201 218 231]]

 [[212 227 243]
  [212 227 243]
  [208 223 239]
  ...
  [195 212 225]
  [197 214 227]
  [201 218 231]]

 [[209 224 240]
  [209 224 240]
  [204 219 235]
  ...
  [192 209 222]
  [193 210 223]
  [199 216 229]]]", What is the title of the art?," ""A King Offers to Make Amends to a Bereaved Mother"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi", Who is the artist of the art?, Amir Khusrau Dihlavi, What is the year when the art was created?, 1597–98, What are the primary materials used in the creation of the art?," Ink, opaque watercolor, gold on paper, and gold on dyed paper"
446561,Folio from an illustrated manuscript,"""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Main support: Ink, watercolor, gold on paper
Margins: Gold on dyed paper","H. 9 3/8 in. 
W. 6 1/4 in. (15.9 cm)",,Codices,"The Khamsa of the Indian poet Amir Khusrau includes a section on the philosopher-king Alexander the Great, who in Khusrau’s telling of his life led expeditions to China, Russia, and the Western Isles. In this copy of the Khamsa made for the Mughal emperor Akbar (r. 1556–1605), Alexander is shown being lowered into the sea in a glass diving bell. While underwater, he will receive a visit from an angel who foretells his death.","[[[205 213 220]
  [208 216 223]
  [211 219 226]
  ...
  [200 206 213]
  [199 205 212]
  [200 206 211]]

 [[213 221 228]
  [207 215 222]
  [209 217 224]
  ...
  [204 210 217]
  [207 213 220]
  [207 213 218]]

 [[212 221 225]
  [210 219 223]
  [212 218 223]
  ...
  [203 211 218]
  [204 212 219]
  [203 212 216]]

 ...

 [[216 222 227]
  [215 221 226]
  [215 221 228]
  ...
  [198 208 215]
  [198 208 215]
  [200 210 217]]

 [[216 219 227]
  [214 220 227]
  [217 223 230]
  ...
  [200 209 213]
  [198 207 211]
  [200 208 215]]

 [[221 224 232]
  [217 223 230]
  [215 221 228]
  ...
  [203 212 216]
  [206 215 219]
  [203 211 218]]]", What is the title of the art?," ""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi", In what year was the art created?, 1597–98, What materials were used to create the art?," Ink, watercolor, gold on paper; Margins: Gold on dyed paper", What is the name of the poet whose Khamsa the art depicts a scene from?, Amir Khusrau Dihlavi
